kanaele;filterpapier;zeit_filterpapier;co60;zeit_co60;ba133;zeit_ba133;background;zeit_background
527;427;;52;;83;;1996;
528;435;;49;;91;;2000;
529;442;;62;;85;;1984;
530;447;;58;;78;;2062;
531;501;;64;;91;;2185;
532;469;;59;;92;;2246;
533;487;;63;;108;;2289;
534;483;;65;;104;;2319;
535;490;;52;;104;;2326;
536;441;;51;;97;;2281;
537;450;;58;;103;;2193;
538;456;;61;;101;;2239;
539;474;;53;;93;;2222;
540;468;;56;;91;;2210;
541;457;;53;;98;;2245;
542;455;;65;;108;;2220;
543;480;;66;;101;;2221;
544;463;;49;;109;;2248;
545;461;;59;;117;;2300;
546;483;;70;;108;;2299;
547;486;;60;;112;;2303;
548;488;;62;;113;;2406;
549;516;;63;;128;;2394;
550;482;;51;;107;;2292;
551;531;;62;;105;;2342;
552;534;;62;;122;;2405;
553;534;;76;;123;;2402;
554;498;;68;;113;;2470;
555;517;;67;;115;;2475;
556;543;;70;;112;;2481;
557;504;;71;;129;;2408;
558;520;;67;;125;;2418;
559;521;;64;;127;;2401;
560;545;;66;;128;;2447;
561;555;;75;;137;;2536;
562;539;;71;;135;;2545;
563;551;;68;;117;;2499;
564;551;;65;;127;;2537;
565;536;;76;;131;;2542;
566;554;;71;;126;;2642;
567;534;;80;;134;;2587;
568;551;;65;;119;;2652;
569;558;;64;;129;;2740;
570;534;;81;;110;;2699;
571;550;;76;;115;;2678;
572;579;;83;;112;;2562;
573;522;;74;;104;;2698;
574;542;;79;;102;;2602;
575;557;;88;;112;;2646;
576;518;;82;;107;;2615;
577;506;;74;;92;;2646;
578;509;;77;;83;;2651;
579;526;;83;;79;;2630;
580;539;;72;;89;;2634;
581;557;;86;;93;;2651;
582;551;;98;;89;;2647;
583;554;;90;;94;;2634;
584;581;;92;;93;;2686;
585;564;;78;;88;;2696;
586;547;;72;;88;;2683;
587;597;;96;;108;;2722;
588;601;;99;;93;;2701;
589;566;;93;;92;;2671;
590;582;;93;;106;;2618;
591;576;;84;;112;;2699;
592;551;;89;;98;;2738;
593;568;;96;;126;;2679;
594;581;;95;;127;;2754;
595;552;;83;;119;;2779;
596;587;;85;;114;;2765;
597;591;;98;;112;;2787;
598;588;;99;;99;;2814;
599;557;;94;;88;;2785;
600;573;;88;;92;;2797;
601;578;;94;;87;;2831;
602;584;;105;;93;;2775;
603;585;;93;;86;;2815;
604;590;;86;;81;;2795;
605;617;;89;;97;;2774;
606;602;;103;;88;;2756;
607;586;;109;;73;;2829;
608;619;;98;;90;;2819;
609;649;;86;;75;;2979;
610;660;;101;;75;;2906;
611;726;;112;;88;;3036;
612;844;;98;;86;;3263;
613;996;;104;;73;;3557;
614;979;;98;;99;;3827;
615;1004;;123;;75;;4136;
616;961;;120;;86;;4200;
617;904;;114;;90;;4207;
618;864;;109;;102;;4003;
619;866;;106;;115;;3843;
620;778;;111;;104;;3706;
621;706;;126;;97;;3523;
622;642;;122;;98;;3346;
623;617;;116;;91;;3189;
624;602;;113;;83;;3026;
625;588;;109;;87;;2903;
626;577;;111;;87;;2804;
627;544;;120;;76;;2720;
628;580;;107;;83;;2768;
629;550;;108;;82;;2752;
630;543;;117;;78;;2733;
631;614;;130;;93;;2763;
632;586;;100;;72;;2765;
633;585;;118;;81;;2766;
634;624;;101;;70;;2801;
635;570;;106;;85;;2817;
636;559;;118;;74;;2776;
637;566;;107;;66;;2746;
638;566;;104;;65;;2777;
639;617;;114;;68;;2778;
640;616;;105;;71;;2763;
641;586;;121;;72;;2798;
642;616;;129;;75;;2842;
643;596;;121;;77;;2813;
644;582;;122;;77;;2770;
645;592;;127;;82;;2847;
646;605;;126;;90;;2870;
647;608;;142;;70;;2781;
648;599;;119;;72;;2801;
649;563;;128;;78;;2779;
650;570;;115;;81;;2821;
651;599;;127;;71;;2927;
652;581;;112;;75;;2773;
653;600;;128;;72;;2789;
654;618;;119;;79;;2798;
655;583;;124;;67;;2755;
656;625;;122;;75;;2789;
657;610;;129;;75;;2874;
658;618;;126;;81;;2825;
659;628;;128;;76;;2820;
660;621;;128;;78;;2786;
661;633;;132;;90;;2848;
662;659;;128;;91;;2924;
663;641;;108;;75;;3015;
664;632;;118;;75;;3049;
665;606;;126;;83;;3060;
666;585;;131;;86;;3083;
667;590;;139;;78;;2968;
668;655;;146;;90;;2989;
669;612;;123;;102;;2929;
670;594;;125;;99;;2911;
671;584;;140;;126;;2854;
672;640;;126;;235;;2900;
673;632;;133;;304;;2936;
674;657;;131;;450;;2995;
675;630;;113;;542;;2925;
676;621;;127;;609;;2914;
677;621;;132;;620;;2911;
678;602;;135;;587;;2832;
679;602;;137;;455;;2899;
680;593;;144;;301;;2855;
681;572;;140;;223;;2903;
682;580;;131;;171;;2903;
683;595;;130;;119;;2882;
684;585;;132;;104;;2932;
685;586;;138;;96;;2882;
686;600;;130;;93;;2830;
687;572;;129;;92;;2818;
688;583;;114;;83;;2844;
689;613;;119;;81;;2768;
690;597;;152;;86;;2840;
691;575;;119;;77;;2867;
692;583;;123;;82;;2813;
693;572;;131;;102;;2781;
694;598;;123;;75;;2803;
695;625;;135;;76;;2886;
696;620;;124;;79;;2789;
697;654;;147;;78;;2833;
698;726;;133;;90;;2954;
699;859;;141;;83;;3131;
700;945;;145;;94;;3410;
701;1045;;124;;85;;3837;
702;1105;;114;;85;;4313;
703;1075;;129;;92;;4543;
